Nobody started a company alone . No one .;KHông ai khởi đầu một công ty một mình . Không ai cả .
And of course the local people had absolutely no interest in doing that , so we paid them to come and work , and sometimes they would show up .;Tất nhiên những người dân bản địa chẳng mấy hứng thú làm công việc này , vậy nên chúng tôi trả công cho họ , và đôi lúc họ mới đến làm việc .
So basically , if you want to meet with me , you know , if you want to meet , don 't call me if you want to sit around in cushy chairs and have meetings where you talk about doing some shit -- where you talk about doing some shit .;Căn bản là , nếu bạn muốn gặp tôi , bạn biết đấy , nếu bạn muốn gặp , đừng gọi tôi nếu bạn muốn ngồi không trên những chiếc ghế êm ái và tham gia những cuộc họp nơi bạn nói về làm này làm nọ nơi bạn nói về làm này làm nọ vớ vẩn .
However , there is a secret to work with entrepreneurs .;Tuy nhiên , có một bí mật để làm việc với các doanh nhân .
There 's only one thing that all the successful companies in the world have in common , only one : None were started by one person .;Chỉ có một điều mà tất cả mọi công ty thành công trên thế giới đều có , chỉ một mà thôi đó là : Không một công ty nào bắt đầu chỉ với một người
Entrepreneurs never come , and they never tell you , in a public meeting , what they want to do with their own money , what opportunity they have identified .;Những doanh nhân chẳng bao giờ đến dự , và họ chẳng đời nào cho bạn biết , trong buổi họp cộng đồng , cái họ muốn làm với tiền của mình , cái cơ hội mà họ mới tìm ra .
We have helped to start 40,000 businesses .;Chúng tôi đã giúp khởi động 40,000 công việc làm ăn .
I 've spent most of my career working for Fortune 500 companies including Johnson & amp ; Johnson , Leo Burnett and The Washington Post .;Tôi đã dàng hết sự nghiệp làm việc cho những công ty trong top 500 của Mỹ như Johnson & amp ; Johnson , Leo Burnett và Thời báo Washington .
We 've done the research , and we have looked at the 100 iconic companies of the world -- Carnegie , Westinghouse , Edison , Ford , all the new companies , Google , Yahoo .;Chúng tôi đã làm một nghiên cứu , và xem xét 100 công ty tiêu biểu trên thế giới Carnegie , Westinghouse , Edison , Ford , tất cả công ty mới , Google , Yahoo .
And I helped these five fishermen to work together and get this beautiful tuna not to the cannery in Albany for 60 cents a kilo , but we found a way to take the fish for sushi to Japan for 15 dollars a kilo , and the farmers came to talk to me , said , " Hey , you helped them . Can you help us ? ";và tôi giúp những người đánh cá này biết cách làm việc cùng nhau và bán những con cá ngừ hảo hạng này không phải cho nhà máy đồ hộp tại Albany với giá 60 đồng một kí , nhưng chúng tôi tìm cách bán chúng tới Nhật Bản để làm sushi với giá 15 đô la một kí , và rồi những người nông dân tìm đến , nói rằng , " Này , ông đã giúp mấy người đó. ông có thể giúp chúng tôi không ? "
So what I 'm saying is that entrepreneurship is where it 's at .;Vậy nên cái mà tôi đang nói đến là Tinh Thần kinh doanh là nơi nó hiện hữu .
I decided when I was 27 years old to only respond to people , and I invented a system called Enterprise Facilitation , where you never initiate anything , you never motivate anybody , but you become a servant of the local passion , the servant of local people who have a dream to become a better person .;Khi 27 tuổi , tôi đã quyết định chỉ hưởng ứng với mọi người và tôi đã tạo ra một hệ thống gọi là Enterprise Facilitation , nơi mà bạn sẽ không khởi đầu bất cứ thứ gì bạn không bao giờ thúc đẩy ai , nhưng trở thành một người đầy tớ cho khát vọng bản địa , người đầy tớ của người bản địa những người có giấc mơ muốn trở thành một con người tốt hơn .
So I had to find a way of solving this problem .;Vì thế tôi phải tìm ra cách để giải quyết vấn đề này .
You have to create a new profession .;bạn phải tạo ra một chuyên ngành mới .
No expensive staff time required .;Không tốn thời giờ vàng bạc của nhân viên .
Eventually , our initiative was adopted and successful .;Cuối cùng thì sáng kiến của chúng tôi cũng đã được tiếp nhận và thành công .
Peter Drucker , one of the greatest management consultants in history , died age 96 , a few years ago .;Peter Drucker , một trong những cố vấn về quản lí vĩ đại nhất trong lịch sử , qua đời khi 96 tuổi , một vài năm trước .
I worked for an Italian NGO , and every single project that we set up in Africa failed .;Tôi đã làm việc cho tổ chức phi chính phủ của Ý và mỗi một dự án chúng tôi lập ra tại Châu Phi thất bại
I 'm not talking about no free shit , because free is not sustainable .;Tôi không nói về những thứ miễn phí , bởi miễn phí thì không bền vững .
In a year , I had 27 projects going on , and the government came to see me to say , " How can you do that ?;Trong một năm , tôi có 27 dự án liên tiếp và người của chính phủ đến tìm hỏi tôi , " Ông làm như thế nào vậy ?
We have never met a single human being in the world who can make it , sell it and look after the money .;Chúng ta chưa bao giờ gặp một cá nhân nào trên thế giới , người mà vừa có thể làm ra , bán nó và quản lí tiền bạc cùng lúc .
Planning is the kiss of death of entrepreneurship .;Hoạch định là nụ hôn thần chết đối với doanh nhân .
So we can create the community where we have facilitators who come from a small business background sitting in cafes , in bars , and your dedicated buddies who will do to you , what somebody did for this gentleman who talks about this epic , somebody who will say to you , " What do you need ?;Vậy nên chúng ta có thể tạo ra một cộng đồng nơi có những người hỗ trợ có kinh nghiệm nền tảng về hình thức kinh doanh quy mô nhỏ ngồi trong quán cà phê , quán rượu , và những anh bạn tận tuỵ của bạn người mà sẽ làm cho bạn những điều mà ai đó đã làm cho họ người nói về thiên hùng ca này người nào đó sẽ hỏi bạn , " bạn cần gì ? "
So what I 'm saying is that entrepreneurship is where it 's at .;Vậy nên cái mà tôi đang nói đến là Tinh Thần kinh doanh là nơi nó hiện hữu .
It 's out of your control , and it 's awesome , and it 's not a career path .;Nó ngoài tầm kiểm soát của em , và nó thật tuyệt , nhưng đó không phải là một con đường sự nghiệp .
Everything I do , and everything I do professionally -- my life -- has been shaped by seven years of work as a young man in Africa .;Những gì tôi làm , và những gì tôi làm chuyên về-- cuộc đời tôi--đã được đinh hình trong bảy năm làm việc tại Châu Phi khi còn trẻ
You could be the President of the United States , or the inventor of the next Internet , or a ninja cardio-thoracic surgeon poet , which would be awesome , because you 'd be the first one .;Bạn có thể trở thành Tổng thống nước Mỹ , hoặc người phát minh ra một Internet tiếp theo , hay là một nhà thơ bác sĩ phẩu thuật tim mạch ninja , sẽ rất tuyệt vời phải không , vì em sẽ là người đầu tiên làm chuyện đó " .
But I 'm also happy and honored to be up here and I think that it 's great that I got to come before 10 or 20 or 30 years had passed and I 'd had more agency in my career , because maybe then I wouldn 't tell the story of how I got my first job , or maybe I wouldn 't tell the story of how I paid for college , which seems so important right now .;Nhưng tôi cũng là vui mừng và vinh dự lên đây tôi nghĩ rằng nó là may mắn là tôi đã đến trước khi 10 , 20 hay 30 năm trôi qua và tôi đã từng làm việc với nhiều công ty trong sự nghiệp của mình , bởi vì khi đó tôi có thể sẽ không thể kể chuyện làm thế nào tôi có công việc đầu tiên , hay có lẽ tôi sẽ không nói ra chuyện về làm thế nào tôi có tiền đóng học phí , mà có vẻ quan trọng như vậy ngay lúc này .
Now , the last thing I wanted to do was leave New York , and my dream job , but I thought you made sacrifices for your soulmate , so I agreed , and I quit my job , and Conor and I left Manhattan together .;Bấy giờ , điều cuối cùng tôi muốn làm là rời bỏ New York và công việc mơ ước của tôi , nhưng tôi đã nghĩ rằng bạn phải hi sinh cho bạn đời của mình , vì vậy , tôi đồng ý và nghỉ việc , Conor và tôi cùng nhau rời bỏ Manhattan .
The profession is the family doctor of enterprise , the family doctor of business , who sits with you in your house , at your kitchen table , at the cafe , and helps you find the resources to transform your passion into a way to make a living .;Một chuyên ngành mới như một bác sỹ gia đình cho doanh nghiệp , bác sỹ gia đình cho công việc làm ăn , người ngồi với bạn trong nhà bạn , tại bàn cơm trong bếp , tại quán cà phê , và giúp bạn tìm ra những nguồn tài nguyên để biến khát vọng của bạn thành một phương cách kiếm sống .
Unfortunately after you 've gone to school , and you have a résumé and you 've done a few jobs , you can 't say anything anymore , so if you say you want to be the President of the United States , but your résumé reads , " Underwear Model : 10 years , " people give you a funny look .;Thật đáng tiếc sau khi bạn học xong , bạn viết résumé và từng làm một vài việc , bạn không thể nói thêm điều gì nữa , vì nếu bạn nói muốn trở thành Tổng thống Hoa Kỳ nhưng résumé của bạn lại ghi : " Người mẫu đồ lót : 10 năm " , người ta sẽ nhìn bạn với ánh mắt khác lạ .
So if you assume that the price of...actually, I shouldn't say Competing Products ,;Nếu bạn giả định giá của...thực ra là tôi không nên nói là sản phẩm cạnh tranh
APPLICATION FOR APPRAISAL OF REPRESENTATIVE SAMPLE;GIẤY ĐỀ NGHỊ THẨM ĐỊNH MẪU ĐỊNH HÌNH
2. The art performances and fashion shows serving business purposes must comply with Clause 1 Article 9 of this Decree.;2. Trường hợp tổ chức biểu diễn nghệ thuật, trình diễn thời trang nhằm mục đích kinh doanh thực hiện theo quy định tại Khoản 1 Điều 9 Nghị định này.
b/Having operated for at least 5 years in the field intended for joint-venture;b) Đã hoạt động từ 5 năm trở lên trong lĩnh vực dự định liên kết
